Full Name,Description
Shervin Pishevar,"Founder of Sherpa Ventures              Investor, Co-Founder and Managing Director at Sherpa Ventures, Strategic Advisor and Board Observer at Uber      Bay Area, CA, USA"
Roxanne Varza,"Microsoft Ventures              Roxanne Varza currently leads Microsoft’s startup activities in France, running both Bizspark and Microsoft Ventures programs.      Paris, France"
Pejman Nozad,"Investor              Pejman is one of the most successful angel investors in Silicon Valley. Investor in Dropbox and Path.      Bay Area, CA, USA"
Pierre Omidyar,"eBay              Founder of Ebay, Founding Partner of Omidyar Network      Honolulu, Hawaii"
Anoushe Ansari,"CEO Co-founder at Prodea Systems              Anousheh Ansari is an Iranian-American engineer and co-founder and chairwoman of Prodea Systems. Her previous business accomplishments include serving as co-founder and CEO of Telecom Technologies, Inc      Dallas, Texas, USA"
Amir Ashkenazi,"President, AOL Platforms              Amir Ashkenazi is the president of AOL Platforms. Formerly the CEO of Adap.tv, which was acquired by AOL.      Bay Area, CA"
Babak Parviz,"Director of wearable tech at Amazon              Fomer Google X Director, credited with inventing Google Glass. Currently at Amazon      Seattle, USA"
Hadi Partovi,"Co-founder of Code.org              Founder of Code.org, Advisor/Investor to Airbnb, Dropbox, Indiegogo, Facebook, Zappos, Flixster      Seattle, USA"
Arash Ferdowsi,"Founder & CTO at Dropbox              After studying at MIT, Arash Ferdowsi founded Dropbox with Drew Houston. Dropbox was a TechCrunch50 finalist in 2008.      Bay Area, CA, USA"
Cyrus Massoumi,"Co-Founder of ZocDoc              Cyrus Massoumi is founder and CEO of ZocDoc, which he created in 2007 after rupturing an eardrum. Massoumi struggled for four painful days to find a doctor, and became convinced that a better healthcare system is possible. He has extensive experience in the healthcare-technology nexus, web commerce and management.      New York, NY"
Shayan Zadeh,"Co-Founder, Zoosk              Shayan started Zoosk with Alex Mehr in December 2007. Zoosk has reached the position of no. 1 grossing dating app and a top 25 grossing app on the Apple iOS App Store.      Bay Area, CA, USA"
Soraya Darabi,"Co-Founder at Zady              Soraya Darabi has her finger firmly on the pulse of today's changing media landscape. Featured on the cover of Fast Company's Most Creative People in Business issue, named one of Inc. Magazine's 30 Under 30, and included in AdAge Magazine's 25 People in Media to Follow on Twitter, Darabi began her career as Manager of Digital Partnerships and Social Media at The New York Times.      New York, NY"
Bijan Sabet,"Spark Capital              Bijan is a General Partner at Spark Capital from firms inception, 2005-present.Prior to Spark Capital, Bijan worked on introducing new consumer products and services at GameLogic (acquired by Scientific Games), Moxi Digital (acquired by Digeo) and at WebTV Networks (acquired by Microsoft) in marketing, product management and corporate development roles. He was also an entrepreneur in residence at Charles River Ventures.      Boston, MA"
Amin Zoufonoun,"Corporate Development at Facebook              Amin Zoufonoun is Vice President of Corporate Development at Facebook where he leads M&A efforts.  Previously he was Director of Corporate Development at Google, where he led several of Google's key strategic acquisitions and investments both in the U.S. and internationally.      Bay Area, CA, USA"
Amir Ansari,"CTO and co-founder of Prodea Systems              Amir Ansari is Chief Technology Officer and Co-Founder and as an inventor and serial entrepreneur, brings more than 20 years of experience to Prodea Systems. Prior to co-founding Prodea Systems, Amir served in the Office of the Chief Technology Officer of Sonus Networks, Inc. He was responsible for providing technical guidance and direction in deploying one of the industry’s first softswitches in a carrier network      Richardson, TX, USA"
Ali Partovi,"Co-founder of Code.org              Ali co-founded and sold two high-profile startups: iLike, acquired by MySpace in 2009, and LinkExchange, acquired by Microsoft for $265 million in 1998. His portfolio as an investor / advisor has included such successes as Zappos, Facebook, and DropBox, as well as newer ventures such as Viagogo and OPOWER      Bay Area, CA, USA"
Bobby Yazdani,"Founder of Saba Software              Bobby Yazdani is an Iranian-American entrepreneur and angel investor. He is the founder of Saba Software. Yazdani founded Saba in 1997 and took the company public in 2000      Bay Area, CA, USA"
Arram Sabeti,"Founder at Zero Cater              ZeroCater makes it simple for companies to feed their people. Previously, Arram were at Justin.TV      Bay Area, CA, USA"
Sina Tamaddon,"Senior VP, Apple              Sina Tamaddon was Senior Vice President of Applications for Apple Inc. Sina Tamaddon joined Apple in September 1997      Bay Area, CA, USA"
Ashkan Alavi,"Co-founder of Rtister              Co-Founder of @Rtister the fashion house for contemporary labels.      London, UK"
Omid Kordestani,"Google              Omid R. Kordestani is an Iranian-American businessman who works as senior advisor to the Office of the CEO and Founders at Google and as Non-Executive Director at Vodafone.      Bay Area, CA, USA"
Avesta Rasouli,"Co-Founder at Unleak & Coloft              Avesta Rasouli is the founder of Coloft - a community, academy, and workspace for tech startups, and a pillar of the LA startup ecosystem. At Coloft, Avesta continues to advise early stage internet startups, helping them with monetization, product development, strategy, and fundraising. He is also founder of Unleak Inc.      Los Angeles, CA"
Ali Jafari,"Vice President, Direct Sales, Europe at Twitter              Ali oversees direct sales, account management and marketing for Twitter across Europe. Prior to this, Ali was Head of Sales Operations, where he was responsible for ad operations, and international expansion across emerging markets for the company. Earlier, he spent five years as the Senior Director of Internet Marketing at Shutterfly. He spent the previous nine years in various finance, business development and sales operations leadership roles at Ask.com and Excite@Home."
Avid Larizadeh,"Boticca              Co-Founder & COO Bottica      London, UK"
